card_id,player_id,name,denominator,grade,buy_date,buy_price_usd,ebay_item_id,notes
ebay-10-14675-80411,draft_2023_ethan_pecko_r6p194,Ethan Pecko,0,raw,2026-05-21,17.22,,2025 Bowman Chrome 1st Prospect Auto CPA-EPE Astros
ebay-14-14663-18584,draft_2024_khal_stephen_r2p59,Khal Stephen,0,raw,2026-05-21,26.09,,2024 Bowman Chrome 1st Prospect Auto CPA-KS Blue Jays
ebay-07-14670-31745,draft_2023_brock_rodden_r5p160,Brock Rodden,0,raw,2026-05-20,10.32,,2023 Bowman Chrome Draft Auto Mariners
ebay-15-14656-85988,draft_2024_gage_ziehl_r4p119,Gage Ziehl,0,raw,2026-05-20,4.69,,2024 Bowman Draft Chrome 1st Prospect Auto CPA-GZ Yankees
ebay-14-14657-38978,draft_2023_matt_wilkinson_r10p308,Matt Wilkinson,0,raw,2026-05-20,29.29,,2024 Bowman Chrome Auto Rookie CPA-MW Guardians
ebay-17-14650-00472,draft_2024_herick_hernandez_r4p129,Herick Hernandez,0,raw,2026-05-19,17.69,,2024 Bowman Draft 1st Bowman Chrome Auto CPA-HH Braves
ebay-27-14634-39942,ifa_695001,Alimber Santa,99,raw,2026-05-19,6.88,,2026 Bowman Chrome Green /99
ebay-27-14634-39941a,draft_2023_andrew_pinckney_r4p102,Andrew Pinckney,0,raw,2026-05-19,7.89,,2023 Bowman Chrome 1st Rookie Auto CDA-AP Nationals
ebay-27-14634-39941b,draft_2023_jack_hurley_r3p80,Jack Hurley,150,raw,2026-05-19,12.79,,2023 Bowman Chrome Blue 1st Rookie Auto /150 CDA-JH
ebay-04-14670-29665,draft_2023_ethan_odonnell_r6p168,Ethan O'Donnell,250,raw,2026-05-19,10.07,,2023 Bowman Chrome Purple 1st Rookie Auto /250 CDA-EOD
ebay-10-14658-74489,draft_2024_joshua_kuroda-grauer_r3p75,Joshua Kuroda-Grauer,0,raw,2026-05-19,32.64,,2024 Bowman Draft Chrome Auto 1st Prospect CPA-JK Athletics
ebay-12-14655-55039,draft_2024_cole_messina_r3p77,Cole Messina,0,raw,2026-05-19,6.65,,2024 Bowman Draft Chrome Prospect Auto CPA-CME
ebay-23-14638-41977,draft_2023_joe_whitman_r2p69,Joe Whitman,0,raw,2026-05-19,12.01,,2023 Bowman Draft 1st Chrome Auto CDA-JWH
ebay-12-14655-51416,draft_2025_aaron_walton_r2p66,Aaron Walton,0,raw,2026-05-19,33.10,,2025 Bowman Chrome Draft 1st Bowman Auto CPA-AWA
ebay-16-14645-00749,draft_2023_ethan_pecko_r6p194,Ethan Pecko,0,raw,2026-05-18,21.02,,2025 Bowman Chrome 1st Prospect Auto CPA-EPE Astros (second copy)
ebay-09-14655-81921,draft_2022_david_sandlin_r11p325,David Sandlin,0,raw,2026-05-18,7.36,,2025 1st Bowman Chrome Auto CPA-DSA
ebay-15-14646-40903,draft_2023_sean_sullivan_r2p46,Sean Sullivan,499,raw,2026-05-18,17.71,,2023 Bowman Draft 1st Chrome Refractor Auto /499 CDA-SS
ebay-18-14639-17714,draft_2022_dylan_orae_r3p102,Dylan O'Rae,0,raw,2026-05-17,7.97,,2023 Bowman Chrome Prospect Auto CPA-DO
